PROLIFIC_PID,excluded,exclusion_reason,percent_missing,n_missing_items,percent_identical_responses,response_sd,completion_time_minutes,bottom_completion_percentile,littles_mcar_p_value,missing_pattern_systematic
67759a26b7a5424ec5d0c0a1,False,,0.0,0,68.75,0.9482581654734625,36.63333333333333,48.445595854922274,0.8105445574699165,False
677d1f4f3c247c1a7a6fb57f,False,,0.0,0,40.625,0.75067174218571,38.43333333333333,53.88601036269429,0.8105445574699165,False
66d9fc2d2b46f520118ea65f,False,,0.0,0,59.375,0.672021505032247,37.75,52.331606217616574,0.8105445574699165,False
676063838d4db0d3eaa69c2b,False,,0.0,0,100.0,0.0,38.38333333333333,53.626943005181346,0.8105445574699165,False
663ec602f5dc7af6ccc1c2d0,False,,0.0,0,56.25,0.672021505032247,41.45,61.91709844559585,0.8105445574699165,False
67227eb3d24e7ab203397120,False,,0.0,0,37.5,1.0453429750487975,36.0,44.559585492227974,0.8105445574699165,False
671469967e2a4f2e612e3846,False,,0.0,0,78.125,0.42001344064515445,32.11666666666667,32.12435233160622,0.8105445574699165,False
6750c18b7e2026c4edd0ad26,False,,0.0,0,40.625,0.9482581654734625,45.25,68.39378238341968,0.8105445574699165,False
5df967d2f6191f6e87b236e6,False,,0.0,0,65.625,0.6690146823211658,23.816666666666663,1.8134715025906734,0.8105445574699165,False
5d776e218a8d1d00166d36a6,False,,0.0,0,40.625,0.89746506805953,27.3,9.844559585492227,0.8105445574699165,False
66849ebd4dd65cfd282d2ad5,False,,0.0,0,71.875,1.2443420336765103,42.8,64.50777202072538,0.8105445574699165,False
668f41cc549b163c5d45534e,False,,0.0,0,59.375,0.6927039119836262,23.566666666666663,1.55440414507772,0.8105445574699165,False
656cef93133dd04969014614,False,,0.0,0,59.375,0.646797320799606,55.06666666666667,83.41968911917098,0.8105445574699165,False
610341bbc7f7114aea9a2cea,False,,0.0,0,50.0,1.0757592967370206,31.98333333333333,31.347150259067355,0.8105445574699165,False
6547bf8012d4702680d55663,False,,0.0,0,65.625,0.5741403110513958,35.333333333333336,43.523316062176164,0.8105445574699165,False
666dd3d9e53e0ff59d7cc164,False,,0.0,0,50.0,0.7803018439949604,51.81666666666667,80.95854922279791,0.8105445574699165,False
66122c3b55a1487b4e58e292,False,,0.0,0,75.0,0.43994134506405985,29.75,20.336787564766837,0.8105445574699165,False
657ca800404c8884226c8f42,False,,0.0,0,75.0,0.5526694748103036,34.93333333333333,40.673575129533674,0.8105445574699165,False
678c0db9c6a63a1de276a649,False,,0.0,0,37.5,1.3380293646423316,34.35,39.24870466321243,0.8105445574699165,False
65fa95fafeda35caf378b6f9,False,,0.0,0,59.375,0.5453247035098121,34.95,40.93264248704663,0.8105445574699165,False
