PROLIFIC_PID,Age,Sex,Colourblindness,Vision,Country_of_residence,Student_status,Employment_status,Time_taken_seconds,Time_taken_minutes,Included,Exclusion_reason
6756136f0ec6aed35dfcfd02,26,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2972,49.53333333333333,True,
63e6378e04ade071ebf9ff9c,32,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,2187,36.45,True,
6780b105e7a5923128d8457d,19,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),2098,34.96666666666667,True,
663929054c48656122cd8aa1,33,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,2956,49.266666666666666,True,
60ff8f48909c68ae805ea2ba,22,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Due to start a new job within the next month,2005,33.416666666666664,True,
5a6e8532e6cc4a0001b6d728,34,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,2464,41.06666666666667,True,
678851f427536397f63120bf,31,Female,"No, I have no issues seeing colours",Yes,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1966,32.766666666666666,True,
670cf1827819b4f39133584b,21,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1594,26.566666666666666,True,
671f3e367fa293418ae68c42,21,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2193,36.55,True,
666ee5994b49ad9236867a62,28,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Full-Time,1711,28.516666666666666,True,
676ef830be06454935800ec3,21,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2857,47.61666666666667,True,
5d776e218a8d1d00166d36a6,34,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,1638,27.3,True,
674d61ec8e80ca5159d6aa56,20,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2739,45.65,True,
5f4539788c48690d1f71bfcc,27,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2692,44.86666666666667,True,
6631185d17f78b1877ba88cb,29,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,2174,36.233333333333334,True,
