PROLIFIC_PID,condition,set_size,delay,n_valid_trials,n_hit_trials,n_fa_trials,hit_rate,fa_rate,hit_rate_corrected,fa_rate_corrected,d_prime,criterion,mean_rt,rt_sd
5f4d3cb5fdda0b2c403fb801,SS3_D1,3,1,27,8,0,0.6153846153846154,0.0,0.6153846153846154,0.03571428571428571,2.096124322860384,0.7546809293089984,1.044337037037037,0.31463107596058265
677b43188ec54f1186b62411,SS5_D3,5,3,28,8,6,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.36002473958541004,6.938893903907228e-17,1.3700357142857142,0.6212760156050913
677b43188ec54f1186b62411,SS5_D1,5,1,27,2,1,0.15384615384615385,0.07142857142857142,0.15384615384615385,0.07142857142857142,0.44515755989932115,1.242655012735862,1.0796296296296295,0.3486754219292634
677b43188ec54f1186b62411,SS3_D3,3,3,28,11,4,0.7857142857142857,0.2857142857142857,0.7857142857142857,0.2857142857142857,1.3575874296762378,-0.11284489290525573,1.2813928571428572,0.506251901818885
677b43188ec54f1186b62411,SS3_D1,3,1,27,10,0,0.7692307692307693,0.0,0.7692307692307693,0.03571428571428571,2.53905900811532,0.5332135866815304,1.161185185185185,0.506611217726104
6751f6e990f3b3698bf1748b,SS5_D3,5,3,27,6,6,0.46153846153846156,0.42857142857142855,0.46153846153846156,0.42857142857142855,0.08345375450306602,0.1382854925411721,1.8526,0.7191637793565951
6751f6e990f3b3698bf1748b,SS5_D1,5,1,27,7,3,0.5,0.23076923076923078,0.5,0.23076923076923078,0.7363159173761296,0.3681579586880648,1.4841185185185186,0.6746451375107891
6751f6e990f3b3698bf1748b,SS3_D3,3,3,27,5,4,0.38461538461538464,0.2857142857142857,0.38461538461538464,0.2857142857142857,0.27256758981166984,0.4296650270270282,1.9350037037037038,0.8350237681930339
6751f6e990f3b3698bf1748b,SS3_D1,3,1,28,11,2,0.7857142857142857,0.14285714285714285,0.7857142857142857,0.14285714285714285,1.8592091316215162,0.13796595806738354,1.5365892857142858,0.6770512083807555
6738c218706186b3fe8e8f56,SS5_D3,5,3,28,7,3,0.5,0.21428571428571427,0.5,0.21428571428571427,0.7916386077433746,0.3958193038716873,2.08445,0.6719285734196587
6738c218706186b3fe8e8f56,SS5_D1,5,1,27,5,1,0.38461538461538464,0.07142857142857142,0.38461538461538464,0.07142857142857142,1.1718525605643293,0.8793075124033579,1.951103703703704,0.8007223860996642
6738c218706186b3fe8e8f56,SS3_D3,3,3,27,10,2,0.7142857142857143,0.15384615384615385,0.7142857142857143,0.15384615384615385,1.5860250547190646,0.22706370542666915,1.7062777777777778,0.43522077009024823
6738c218706186b3fe8e8f56,SS3_D1,3,1,27,8,2,0.6153846153846154,0.14285714285714285,0.6153846153846154,0.14285714285714285,1.3609517559993352,0.3870946458784741,1.7097407407407406,0.4850747256147236
610466e3fb619bdbdf8eb32d,SS5_D3,5,3,27,7,6,0.5,0.46153846153846156,0.5,0.46153846153846156,0.09655861528963908,0.04827930764481954,1.4662444444444445,0.6647502355328847
610466e3fb619bdbdf8eb32d,SS5_D1,5,1,26,9,7,0.75,0.5,0.75,0.5,0.6744897501960817,-0.33724487509804085,1.4203653846153845,0.7363188901242763
610466e3fb619bdbdf8eb32d,SS3_D3,3,3,27,11,4,0.7857142857142857,0.3076923076923077,0.7857142857142857,0.3076923076923077,1.29404083111673,-0.14461819218500954,1.3438592592592593,0.6629058694399166
610466e3fb619bdbdf8eb32d,SS3_D1,3,1,26,11,3,0.8461538461538461,0.23076923076923078,0.8461538461538461,0.23076923076923078,1.756392150162331,-0.14188015770503593,1.130726923076923,0.39674235726243534
6786d6d81286c8386e009009,SS5_D3,5,3,27,8,4,0.5714285714285714,0.3076923076923077,0.5714285714285714,0.3076923076923077,0.6824145931660605,0.16119492679032527,1.5010000000000001,0.3929701476232984
6786d6d81286c8386e009009,SS5_D1,5,1,27,9,5,0.6923076923076923,0.35714285714285715,0.6923076923076923,0.35714285714285715,0.8685085801739252,-0.06814793328639293,1.5149074074074076,0.42047172037525615
6786d6d81286c8386e009009,SS3_D3,3,3,26,8,7,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.19682261683155436,-0.19496992370541627,1.8862307692307694,0.8360406811964264
6786d6d81286c8386e009009,SS3_D1,3,1,27,6,1,0.42857142857142855,0.07692307692307693,0.42857142857142855,0.07692307692307693,1.246064502480142,0.8030446210327762,1.961337037037037,0.9079964779447737
674e978e575eccb8dd86167b,SS5_D3,5,3,27,9,4,0.6428571428571429,0.3076923076923077,0.6428571428571429,0.3076923076923077,0.8685085801739253,0.06814793328639285,1.3167777777777776,0.3721615998598679
674e978e575eccb8dd86167b,SS5_D1,5,1,27,9,3,0.6428571428571429,0.23076923076923078,0.6428571428571429,0.23076923076923078,1.1024222741766994,0.18510478028777988,1.153925925925926,0.23391121358424832
674e978e575eccb8dd86167b,SS3_D3,3,3,27,12,3,0.8571428571428571,0.23076923076923078,0.8571428571428571,0.23076923076923078,1.803886441254271,-0.16562730325100594,1.180111111111111,0.42019714542776354
674e978e575eccb8dd86167b,SS3_D1,3,1,26,9,1,0.75,0.07142857142857142,0.75,0.07142857142857142,2.139723542881604,0.39537202124472043,1.0691153846153845,0.323395402184147
5f974c72a0ed8c0f9ce724ea,SS5_D3,5,3,28,11,5,0.7857142857142857,0.35714285714285715,0.7857142857142857,0.35714285714285715,1.1577449645439442,-0.21276612547140247,1.1341785714285715,0.2281044357260148
5f974c72a0ed8c0f9ce724ea,SS5_D1,5,1,28,9,1,0.6428571428571429,0.07142857142857142,0.6428571428571429,0.07142857142857142,1.8313401494860924,0.5495637179424764,1.078892857142857,0.19934473012490556
5f974c72a0ed8c0f9ce724ea,SS3_D3,3,3,28,13,2,0.9285714285714286,0.14285714285714285,0.9285714285714286,0.14285714285714285,2.5328043165636642,-0.19883163440369045,1.1473928571428573,0.306218796056351
5f974c72a0ed8c0f9ce724ea,SS3_D1,3,1,27,12,1,0.9230769230769231,0.07142857142857142,0.9230769230769231,0.07142857142857142,2.89131066495837,0.01957846020633769,0.9931111111111113,0.22201720885021733
6699c7aea5e77f24097879b7,SS5_D3,5,3,27,6,8,0.42857142857142855,0.6153846153846154,0.42857142857142855,0.6153846153846154,-0.47339360191389857,-0.05668443116424417,1.1601851851851852,0.4085432880780423
6699c7aea5e77f24097879b7,SS5_D1,5,1,27,8,5,0.6153846153846154,0.35714285714285715,0.6153846153846154,0.35714285714285715,0.6594875889217631,0.0363625623396881,1.2975925925925926,0.445796630009285
6699c7aea5e77f24097879b7,SS3_D3,3,3,27,6,1,0.46153846153846156,0.07142857142857142,0.46153846153846156,0.07142857142857142,1.3686751773958834,0.7808962039875809,1.2750370370370372,0.4513683027521369
6699c7aea5e77f24097879b7,SS3_D1,3,1,28,9,4,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.2857142857142857,0.9320551787334329,0.09992123256614666,1.3613214285714281,0.30230007823615807
676ef830be06454935800ec3,SS5_D3,5,3,27,9,1,0.6923076923076923,0.07142857142857142,0.6923076923076923,0.07142857142857142,1.967636016058878,0.48141578465608353,1.0854444444444442,0.4081804213950694
676ef830be06454935800ec3,SS5_D1,5,1,27,8,2,0.5714285714285714,0.15384615384615385,0.5714285714285714,0.15384615384615385,1.2000886025789064,0.4200319314967482,0.9394814814814815,0.2531173899703715
676ef830be06454935800ec3,SS3_D3,3,3,27,12,0,0.9230769230769231,0.0,0.9230769230769231,0.03571428571428571,3.2288199630120378,0.1883331092331716,0.8150000000000001,0.18599483036653713
676ef830be06454935800ec3,SS3_D1,3,1,28,12,1,0.8571428571428571,0.07142857142857142,0.8571428571428571,0.07142857142857142,2.532804316563664,0.19883163440369056,0.8217857142857143,0.16570307159647926
